"fecha","ipc","inflacion","cdt90","n_obs"
2008-04-01,67.51,5.7321848081441,9.72090909090909,22
2008-05-01,68.14,6.38563622170181,9.37684210526316,19
2008-06-01,68.73,7.18964441671865,9.54684210526316,19
2008-07-01,69.06,7.51985053713218,9.50695652173913,23
2008-08-01,69.19,7.87340193327097,9.75684210526316,19
2008-09-01,69.06,7.57009345794393,9.74727272727273,22
2008-10-01,69.3,7.94392523364484,9.795,22
2008-11-01,69.49,7.71973337467058,9.985,18
2008-12-01,69.8,7.68281394631287,9.9615,20
2009-01-01,70.21,7.17447717905662,9.569,20
2009-02-01,70.8,6.46616541353382,8.9145,20
2009-03-01,71.15,6.13066825775657,8.06428571428571,21
2009-04-01,71.38,5.7324840764331,7.111,20
2009-05-01,71.39,4.76959201643674,6.1178947368421,19
2009-06-01,71.35,3.81201804161209,5.49631578947368,19
2009-07-01,71.32,3.27251665218649,5.10318181818182,22
2009-08-01,71.35,3.12183841595606,5.04684210526316,19
2009-09-01,71.28,3.21459600347525,4.90090909090909,22
2009-10-01,71.19,2.72727272727273,4.36238095238095,21
2009-11-01,71.14,2.37444236580804,4.38789473684211,19
2009-12-01,71.2,2.00573065902581,4.1065,20
2010-01-01,71.69,2.10796182879933,4.03368421052632,19
2010-02-01,72.28,2.090395480226,3.981,20
2010-03-01,72.46,1.84118060435698,3.91454545454545,22
2010-04-01,72.79,1.97534323339872,3.9115,20
2010-05-01,72.87,2.07311948452165,3.633,20
2010-06-01,72.95,2.24246671338473,3.514,20
2010-07-01,72.92,2.24340998317443,3.4925,20
2010-08-01,73,2.312543798178,3.48428571428571,21
2010-09-01,72.9,2.27272727272727,3.45818181818182,22
2010-10-01,72.84,2.31774125579436,3.4325,20
2010-11-01,72.98,2.58644925499016,3.4265,20
2010-12-01,73.45,3.16011235955056,3.44681818181818,22
2011-01-01,74.12,3.38959408564654,3.4495,20
2011-02-01,74.57,3.16823464305478,3.454,20
2011-03-01,74.77,3.18796577422027,3.56636363636364,22
2011-04-01,74.86,2.84379722489352,3.72157894736842,19
2011-05-01,75.07,3.01907506518455,3.86727272727273,22
2011-06-01,75.31,3.23509252912955,4.07,20
2011-07-01,75.42,3.42841470104225,4.20578947368421,19
2011-08-01,75.39,3.27397260273972,4.46227272727273,22
2011-09-01,75.62,3.73113854595335,4.57545454545455,22
2011-10-01,75.77,4.02251510159253,4.678,20
2011-11-01,75.87,3.95998903809263,4.914,20
2011-12-01,76.19,3.73042886317221,5.06714285714286,21
2012-01-01,76.75,3.54830005396654,5.09619047619048,21
2012-02-01,77.22,3.55370792543919,5.24761904761905,21
2012-03-01,77.31,3.39708439213589,5.31952380952381,21
2012-04-01,77.42,3.41971680470212,5.43947368421053,19
2012-05-01,77.66,3.45011322765418,5.42428571428571,21
2012-06-01,77.72,3.20010622759261,5.42105263157895,19
2012-07-01,77.7,3.02307080350039,5.4085,20
2012-08-01,77.73,3.10385992837248,5.39952380952381,21
2012-09-01,77.96,3.0944194657498,5.3135,20
2012-10-01,78.08,3.04870001319784,5.27090909090909,22
2012-11-01,77.98,2.78107288783445,5.2735,20
2012-12-01,78.05,2.44126525790787,5.1735,20
2013-01-01,78.28,1.99348534201955,5.08952380952381,21
2013-02-01,78.63,1.82595182595182,4.8175,20
2013-03-01,78.79,1.91437071530203,4.57666666666667,18
2013-04-01,78.99,2.02789976750193,4.20363636363636,22
2013-05-01,79.21,1.99587947463302,3.97047619047619,21
2013-06-01,79.39,2.14873906330417,3.93611111111111,18
2013-07-01,79.43,2.22651222651222,3.96227272727273,22
2013-08-01,79.5,2.27711308375145,4.0565,20
2013-09-01,79.73,2.27039507439715,4.0652380952381,21
2013-10-01,79.52,1.84426229508197,3.99954545454545,22
2013-11-01,79.35,1.75686073352139,4.00368421052632,19
2013-12-01,79.56,1.93465727098014,4.03142857142857,21
2014-01-01,79.95,2.13336739908023,4.01285714285714,21
2014-02-01,80.45,2.31463817881217,3.9525,20
2014-03-01,80.77,2.51300926513516,3.8715,20
2014-04-01,81.14,2.72186352702875,3.804,20
2014-05-01,81.53,2.92892311576822,3.74952380952381,21
2014-06-01,81.61,2.79632195490616,3.89666666666667,18
2014-07-01,81.73,2.89563137353643,4.03739130434783,23
2014-08-01,81.9,3.0188679245283,4.01263157894737,19
2014-09-01,82.01,2.85965132321586,4.22545454545455,22
2014-10-01,82.14,3.29476861167002,4.30227272727273,22
2014-11-01,82.25,3.65469439193447,4.34388888888889,18
2014-12-01,82.47,3.657616892911,4.31,21
2015-01-01,83,3.81488430268917,4.441,20
2015-02-01,83.96,4.36295835922933,4.424,20
2015-03-01,84.45,4.55614708431349,4.34380952380952,21
2015-04-01,84.9,4.63396598471777,4.458,20
