"fecha","mes","cdt90_pronosticado"
2026-08-01,"Agosto",10.2830736199317
2026-09-01,"Septiembre",10.3866976959322
2026-10-01,"Octubre",10.4559198438828
2026-11-01,"Noviembre",10.5140271921602
2026-12-01,"Diciembre",10.5863466045825
