"fecha","mes","pronostico","limite_inferior_95","limite_superior_95"
2026-08-01,"August",6.11273636409823,5.64404547995261,6.58142724824384
2026-09-01,"September",6.11718597291198,5.29800702817527,6.93636491764868
2026-10-01,"October",6.00476907875914,4.82766700333426,7.18187115418402
2026-11-01,"November",6.14351132806152,4.60437092382297,7.68265173230006
2026-12-01,"December",6.23897046959248,4.33931425809541,8.13862668108956
